Journal of the Medical Library Association	jmla	http://jmla.mlanet.org/ojs/jmla/oai	pdf
Theological Librarianship	tl	https://serials.atla.com/theolib/oai	pdf
South African Journal of Libraries and Information Science	sajlis	https://sajlis.journals.ac.za/pub/oai	pdf
RBM	rbm	https://rbm.acrl.org/index.php/rbm/oai	pdf
Practical Academic Librarianship	pal	https://journals.tdl.org/pal/index.php/pal/oai	pdf
Pennsylvania Libraries: Research & Practice	plrap	http://palrap.org/ojs/index.php/palrap/oai	pdf
Partnership: The Canadian Journal of Library and Information Practice and Research	perj	https://journal.lib.uoguelph.ca/index.php/perj/oai	pdf
North Carolina Libraries	ncl	http://www.ncl.ecu.edu/index.php/NCL/oai	pdf
Library and Information Research	lir	https://lirgjournal.org.uk/index.php/lir/oai	pdf
Liber Quarterly: The Journal of European Research Libraries	lqjerl	https://liberquarterly.eu/oai	pdf
KULA	kula	https://kula.uvic.ca/index.php/kula/oai	pdf
Journal of the European Association for Health Information and Libraries	jeahil	http://ojs.eahil.eu/ojs/index.php/JEAHIL/oai	pdf
Journal of the Canadian Health Libraries Association	jchla	https://journals.library.ualberta.ca/jchla/index.php/jchla/oai	pdf
Journal of Information Literacy	jil	https://ojs.lboro.ac.uk/JIL/oai	pdf
Journal of Copyright in Education and Librarianship	jcel	https://www.jcel-pub.org/oai	pdf
Journal of Civic Information	jci	https://journals.flvc.org/civic/oai	pdf
Issues in Science and Technology Libraries	istl	https://journals.library.ualberta.ca/istl/index.php/istl/oai	html
International Journal of Librarianship	ijol	https://journal.calaijol.org/index.php/ijol/oai	pdf
International Journal of Information, Diversity, & Inclusion	ijidi	https://jps.library.utoronto.ca/index.php/ijidi/oai	pdf
International Journal of Information Science and Management	ijism	https://ijism.ricest.ac.ir/index.php/ijism/oai	pdf
International Journal of Digital Curation	ijdc	http://www.ijdc.net/oai	pdf
Information Technology and Libraries	ital	https://ejournals.bc.edu/index.php/ital/oai	pdf
Frontiers in Health Informatics	fhi	http://ijmi.ir/index.php/IJMI/oai	pdf
First Monday	fm	https://firstmonday.org/ojs/index.php/fm/oai	html
Evidence Based Library and Information Practice	eblip	https://journals.library.ualberta.ca/eblip/index.php/EBLIP/oai	pdf
College and Research Libraries	crl	https://crl.acrl.org/index.php/crl/oai	pdf
Canadian Journal of Academic Librarianship	cjal	https://cjal.ca/index.php/capal/oai	pdf
Annals of Library and Information Studies	alis	http://op.niscair.res.in/index.php/ALIS/oai	pdf
